id,tweetText,tweetURL,type,tweetAuthor,handle,geo,mentions,hashtags,replyCount,quoteCount,retweetCount,likeCount,views,bookmarkCount,createdAt,allMediaURL,videoURL
1749915828256907743,"just  because  he's  bad  doesn't  mean  he  can't  annoy  her  when  she's  on  tower  duty.

Batman  and  Nightwing  aren't  here  for  him  to  bother  so  technically  she's  the  next  best  choice.",https://twitter.com/lonedrobin/status/1749915828256907743,tweet,َ,@lonedrobin,"
 ᅠ              
 
ᅠ            𝚢𝚘𝚞𝚛   𝚐𝚛𝚎𝚊𝚝𝚎𝚜𝚝    
          𝚏𝚊𝚒𝚕𝚞𝚛𝚎       𝚛𝚎𝚝𝚞𝚛𝚗𝚜 𓈒ᐟ
 
ᅠ
ᅠ                          ",,,0,1,0,0,113,0,2024-01-23 17:03:39,,
1749915747885687156,@theragingreaper @iFireMonkey They should cut all contact with him now!!It’s starting to annoy a lot of people. It’s not everyday an unknown streamer gets a skin in game. This is what? The 3rd or 4th time he’s said something about it. Loserfruit has no styles she’s mentioned it but hasn’t gone to this extent.,https://twitter.com/OblivionCyc10ps/status/1749915747885687156,tweet,Callum Shipperley/Demiurge,@OblivionCyc10ps,"Great Yarmouth, England","@theragingreaper,@iFireMonkey",,1,0,0,0,161,0,2024-01-23 17:03:20,,
1749915739665162281,@Reverend_Makers Please annoy us!,https://twitter.com/PillSquad/status/1749915739665162281,tweet,Pill Squad,@PillSquad,"Vancouver, BC",@Reverend_Makers,,0,0,0,0,131,0,2024-01-23 17:03:18,,
1749915616159367198,How do we annoy you? — Hm. Have a four letter name /j https://t.co/6KwML347m3,https://twitter.com/ryuuslits/status/1749915616159367198,tweet,suguru & dain/ryuu,@ryuuslits,,,,0,0,0,1,43,0,2024-01-23 17:02:49,,
1749915610920657214,"Great performance, hogan, Conlon and Norwood class. They deserved everything they got, come to annoy us, left with nowt. Off you pop #oafc",https://twitter.com/ArronOrchard/status/1749915610920657214,tweet,Arron Orchard,@ArronOrchard,,,#oafc,0,0,0,19,1287,0,2024-01-23 17:02:48,,
1749915461129506995,@jefszn if there’s no chemistry/i don’t like you then ewe it would annoy me😭,https://twitter.com/thato_nmv/status/1749915461129506995,tweet,thato,@thato_nmv,"Pretoria, South Africa",@jefszn,,1,0,0,0,80,0,2024-01-23 17:02:12,,
1749915147777253593,@snyde043 @BreeMinneapolis @BanjoMpls Of course,https://twitter.com/larryn1966/status/1749915147777253593,tweet,Paid to agitate willing to annoy for free. #BLM,@larryn1966,"Richfield, MN","@snyde043,@BreeMinneapolis,@BanjoMpls",,0,0,0,3,14,0,2024-01-23 17:00:57,,
1749914998569304135,Ooo y’all bitches annoy the shit outta me no wonder I stopped using twitter last time,https://twitter.com/Xxb3rryb1ade/status/1749914998569304135,tweet,𝓖𝓻𝓪𝓬𝓮,@Xxb3rryb1ade,I call any of my favs mother,,,0,0,0,0,9,0,2024-01-23 17:00:22,,
1749914574621458567,@FolasadeOlukoju These people dey annoy me this night,https://twitter.com/thisiselroy/status/1749914574621458567,tweet,Pharaoh Elroy I 👑🇪🇬,@thisiselroy,In your heart,@FolasadeOlukoju,,1,0,0,0,38,0,2024-01-23 16:58:41,,
1749914406073569676,"People who be breathing loud annoy the hell outta me man. Mfers sound like they’re snoring while they’re awake, got me fucked up https://t.co/FCZum0W5vQ",https://twitter.com/thiccdaddyx/status/1749914406073569676,tweet,THICCDADDYX🐝🇲🇽,@thiccdaddyx,"Vancouver, BC",,,0,0,0,3,72,0,2024-01-23 16:58:00,https://pbs.twimg.com/media/GEjx4ONaYAAsmcH.jpg,
1749914289417109615,@Komrad_Iron @jambojeremy Historic Vommit,https://twitter.com/larryn1966/status/1749914289417109615,tweet,Paid to agitate willing to annoy for free. #BLM,@larryn1966,"Richfield, MN","@Komrad_Iron,@jambojeremy",,0,0,0,3,16,0,2024-01-23 16:57:33,,
1749913917281771682,On the block list they go 😇🤝🏽 Cause you will not annoy me on my damn phone every damn day 😒,https://twitter.com/2kool_4school/status/1749913917281771682,tweet,Coach 🏐Shamrock🏀,@2kool_4school,My skin,,,0,0,0,0,44,0,2024-01-23 16:56:04,,
1749913840324882736,"I went to the bar and I kept playing yes, and? on TouchTunes 😂 Can’t wait for the next single to annoy people at the bar lol 🤍 https://t.co/0CHWxKX8Fr",https://twitter.com/Alexxx__Liz/status/1749913840324882736,tweet,Cristy,@Alexxx__Liz,,,,0,0,0,0,9,0,2024-01-23 16:55:46,https://pbs.twimg.com/media/GEjxXJCbQAA9a_L.jpg,
1749913774453084320,"@jaccocharite Grudinin wouldn't be a bad alternative (if we pick up only from the opposition), but he has two faults:
1. His real ability is an open question
2. He looks like a good candidate when you only want to vote to annoy the west even more
He get votes largely for the 2nd point.",https://twitter.com/real_Miroslav/status/1749913774453084320,tweet,Miroslav,@real_Miroslav,,@jaccocharite,,0,0,0,1,15,0,2024-01-23 16:55:30,,
1749913769776390333,@AstridWett Annoy the fuck out of people?,https://twitter.com/Joshughes04/status/1749913769776390333,tweet,Joshua Hughes,@Joshughes04,"Buckley, Wales",@AstridWett,,0,0,0,0,5,0,2024-01-23 16:55:29,,
1749913609143025995,"@posting_forever Imagine letting literal fascists have their way with our country because the amoral liberals annoy us.

What's the plan when Biden loses?  Have any of you genuinely thought past a year, or are you so giddy at the thought of spiting the libs that you ignore the republicans?",https://twitter.com/SleepySteve11/status/1749913609143025995,tweet,Sleepy🐀Steve,@SleepySteve11,"Raleigh, NC",@posting_forever,,0,0,0,3,63,0,2024-01-23 16:54:50,,
1749913334634135813,@maikeltjeonline maybe this whining loser should return to his own country and annoy the people there with his existence,https://twitter.com/kojisuru/status/1749913334634135813,tweet,kojisuru 誇示する,@kojisuru,,@maikeltjeonline,,0,0,0,0,3,0,2024-01-23 16:53:45,,
